# start, duration, midi_note, lyric
0.500,0.430,48,this
1.059,0.091,51,is
1.450,0.280,67,my
1.841,0.439,67,ai
2.359,4.500,62,generated
6.959,0.750,48,song
7.850,5.030,58,melody
13.530,0.620,46,test
14.250,0.180,59,
14.570,0.300,66,
15.409,0.120,67,
15.830,0.100,55,
16.020,0.109,55,
16.359,0.211,60,
16.780,0.361,60,
17.841,0.139,48,
18.170,0.570,67,
18.850,0.109,55,
19.050,0.080,55,
19.220,1.300,55,
20.600,0.730,60,
21.470,0.220,60,
22.541,0.880,60,
23.500,0.141,60,
23.750,0.559,60,
24.520,0.309,51,
24.920,1.070,60,
26.109,0.261,60,
26.441,0.109,60,
26.700,1.809,60,
28.930,0.991,60,
